bgg,name,players,duration,complexity,y,ab
https://boardgamegeek.com/boardgameexpansion/215409/escape-room-game-murder-mystery,Escape Room misteri mortali,,,,,
https://boardgamegeek.com/boardgame/337690/escape-room-game-puzzle-adventures-secret-scientis,Escape Room: il segreto della scienziata,,,,,
https://boardgamegeek.com/boardgame/83195/ghost-blitz,Fantablitz,2-8,20,Semplice,Y,A
https://boardgamegeek.com/boardgame/83195/ghost-blitz,Fantascatti,,,,,
https://boardgamegeek.com/boardgame/2290/good-bad-ghosts,Fantasmi,,,,,
https://boardgamegeek.com/boardgame/362233/fast-west,Fast West,,,,,
https://boardgamegeek.com/boardgame/232509/feelinks,Feelinks,3-8,20-40,Semplice,Y,B
https://boardgamegeek.com/boardgame/285253/fiesta-de-los-muertos,Fiesta de los muertos,,,,,
https://boardgamegeek.com/boardgame/40628/finca,Finca,2-4,45,Semplice,,
https://boardgamegeek.com/boardgame/342927/fire-stone,Fire & Stone,,,,,
https://boardgamegeek.com/boardgame/353304/first-empires,First Empires,,,,,
https://boardgamegeek.com/boardgame/83667/first-train-nuremberg,First Train to Nurnberg,,,,,
https://boardgamegeek.com/boardgame/199478/flamme-rouge,Flamme Rouge,2-4,30-45,Semplice,,
https://boardgamegeek.com/boardgame/312618/flourish,Flourish,,,,,
https://boardgamegeek.com/boardgame/314413/fluxx,Fluxx,,,,,
https://boardgamegeek.com/boardgame/195869/cest-mon-fort,Fort!,,,,,
https://boardgamegeek.com/boardgame/2719/connect-four,Forza 4,2,10,Semplice,Y,
https://boardgamegeek.com/boardgame/359318/foxy,Foxy,,,,,
https://boardgamegeek.com/boardgame/66188/fresco,Fresco,,,,,
https://boardgamegeek.com/boardgame/354324/fresh-fruits,Fresh Fruits,,,,,
https://boardgamegeek.com/boardgame/203427/fabled-fruit,Frutta fatata,,,,,
https://boardgamegeek.com/boardgame/7805/fearsome-floors,Fuggi Fuggi,2-7,60,Semplice,,
https://boardgamegeek.com/boardgame/246693/funky-chicken,Funky Gallo,3-6,5,Semplice,Y,A
https://boardgamegeek.com/boardgame/247807/fuorisalone,Fuorisalone,,,,,
https://boardgamegeek.com/boardgame/176558/mafia-de-cuba,Gangs of Cuba,6-12,10-20,Semplice,,
https://boardgamegeek.com/boardgame/28739/garibaldi-escape,Garibaldi,2-6,60,Media,,
https://boardgamegeek.com/boardgame/9674/ingenious,Geniale,,,,,
https://boardgamegeek.com/boardgame/165709/ghiotto-di-ghiande,Ghiotto di ghiande,2-6,15,Semplice,Y,
https://boardgamegeek.com/boardgame/177083/giu-dal-trono,Giù dal trono,,,,,
https://boardgamegeek.com/boardgame/143693/glass-road,Glass Road,1-4,20-80,Elevata,,
https://boardgamegeek.com/boardgame/359124/animals-baker-street,Gli animali di Baker Street,,,,,
https://boardgamegeek.com/boardgame/184346/go-nuts-donuts,Go Nuts for Donuts,2-6,20,Semplice,Y,A
https://boardgamegeek.com/boardgame/9216/goa,Goa,2-4,90,Media,,
https://boardgamegeek.com/boardgame/142517/grabolo,Grabolo,3-5,20,Semplice,Y,A
https://boardgamegeek.com/boardgame/182874/grand-austria-hotel,Grand Austria Hotel,2-4,60-120,Elevata,,
https://boardgamegeek.com/boardgame/226959/grandi-eroi-pigiama,Grandi eroi in pigiama,,,,,
https://boardgamegeek.com/boardgame/193738/great-western-trail,Great Western Trail,,,,,
https://boardgamegeek.com/boardgame/163931/grog-island,Grog Island,2-4,40-75,Media,,
https://boardgamegeek.com/boardgame/194019/guilds,Guilds,2-4,60-90,Media,,
https://boardgamegeek.com/boardgame/269144/hadara,Hadara,,,,,
https://boardgamegeek.com/boardgame/2944/halli-galli,Halli Galli ,2-6,10,Semplice,Y,A
https://boardgamegeek.com/boardgame/290357/hanabi-grands-feux,Hanabi grandi fuochi,,,,,
https://boardgamegeek.com/boardgame/43015/hansa-teutonica,Hansa Teutonica,,,,,
https://boardgamegeek.com/boardgame/340498/hansel-gretel,Hansel & Gretel,,,,,
https://boardgamegeek.com/boardgame/156138/happy-pigs,Happy Pigs,2-6,30-45,Media,,
https://boardgamegeek.com/boardgame/194626/happy-salmon,Happy Salmon,3-6,5,Semplice,Y,A
https://boardgamegeek.com/boardgame/382/heimlich-co,Heimlich & Co,,,,,
https://boardgamegeek.com/boardgame/224272/hellapagos,Hellapagos,,,,,
https://boardgamegeek.com/boardgame/103092/helvetia,Helvetia,2-4,90,Elevata,,
https://boardgamegeek.com/boardgame/182875/hengist,Hengist,2,20,Semplice,,A
https://boardgamegeek.com/boardgame/16500/highland-clans,Highland Clans,,,,,
https://boardgamegeek.com/boardgame/318243/hitster,Hitster,,,,,
https://boardgamegeek.com/boardgame/295957/holi-festival-colors,Holi,,,,,
https://boardgamegeek.com/boardgame/174078/holmes-sherlock-mycroft,Holmes Sherlock & Mycroft,2,20-30,Media,,B
https://boardgamegeek.com/boardgame/207336/honshu,Honshu,2-5,30-40,Media,,A
https://boardgamegeek.com/boardgame/58110/horse-fever,Horse Fever,,,,,
https://boardgamegeek.com/boardgame/63543/horus-heresy,Horus Heresy,,,,,
https://boardgamegeek.com/boardgame/232079/how-rob-bank,How to rob a bank,,,,,
https://boardgamegeek.com/boardgame/2290/phantoms-vs-phantoms,I buoni e i cattivi fantasmi,2,15,Semplice,,B
https://boardgamegeek.com/boardgame/84876/castles-burgundy,I castelli della Borgogna,,,,,
https://boardgamegeek.com/boardgame/13/catan,I coloni di Catan,3-4,60-120,Media,,
https://boardgamegeek.com/boardgame/256980/color-monster,I colori delle emozioni,,,,,
https://boardgamegeek.com/boardgame/437/master-labyrinth,I Maestri del Labirinto,,,,,
