bgg,name,players,duration,complexity,y,ab
https://boardgamegeek.com/boardgame/225694/decrypto,Decrypto,3-8,15-45,Semplice,,B
https://boardgamegeek.com/boardgame/256788/detective-club,Detective Club,,,Semplice,,
https://boardgamegeek.com/boardgame/299933/dice-flick,Dice Flick,,,Semplice,,
https://boardgamegeek.com/boardgame/194594/dice-forge,Dice Forge,2-4,45,Media,,
https://boardgamegeek.com/boardgame/2936/dice-run,Dice Run,,,Semplice,,
https://boardgamegeek.com/boardgame/315534/goal-10,Dieci,,,Semplice,,
https://boardgamegeek.com/boardgame/278361/dilemmi,Dilemmi,2-8,30-60,Semplice,,B
https://boardgamegeek.com/boardgame/156719/dino-race,Dino Race,2-4,30,Semplice,Y,B
https://boardgamegeek.com/boardgame/235927/dino-world,Dino World,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/55660/dixit-quest,Dixit 2: Quest,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/119657/dixit-3-journey,Dixit 3: Journey,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/145325/dixit-origins,Dixit 4: Origins,,,Semplice,,
https://boardgamegeek.com/boardgame/92828/dixit-odyssey,Dixit Odyssey,3-12,30,Semplice,,
https://boardgamegeek.com/boardgame/63268/spot-it,Dobble,2-8,5,Semplice,Y,A
https://boardgamegeek.com/boardgame/165629/dogsitter,DogSitter,2-5,15,Semplice,Y,A
https://boardgamegeek.com/boardgame/242523/dolly-crush,Dolly Crush,,,Semplice,,
https://boardgamegeek.com/boardgame/40834/dominion-intrigue,Dominion Intrigo,2-4,30-60,Media,,
https://boardgamegeek.com/boardgame/36218/dominion,Dominion Nasce un regno,2-4,30-60,Media,,
https://boardgamegeek.com/boardgame/181345/dr-eureka,Dr. Eureka,1-4,15,Semplice,Y,B
https://boardgamegeek.com/boardgame/108783/dr-shark,Dr. Shark,,,Semplice,,
https://boardgamegeek.com/boardgame/300010/dragomino,Dragomino,,,Semplice,,
https://boardgamegeek.com/boardgame/346937/dragon-inferno,Dragon Inferno,,,Semplice,,
https://boardgamegeek.com/boardgame/329714/dreadful-circus,Dreadful Circus,,,Semplice,,
https://boardgamegeek.com/boardgame/244916/drop-it,Drop It,,,Semplice,,
https://boardgamegeek.com/boardgame/102548/dungeon-fighter,Dungeon Fighter,,,Semplice,,
https://boardgamegeek.com/boardgame/257164/dungeon-raiders-2018-edition,Dungeon Raiders,3-5,20-60,Semplice,,B
https://boardgamegeek.com/boardgame/192401/dungeon-time,Dungeon Time,1-5,10-60,Semplice,,B
https://boardgamegeek.com/boardgame/58421/egizia,Egizia,,,Media,,
https://boardgamegeek.com/boardgame/29972/el-capitan,El Capitan,,,Media,,
https://boardgamegeek.com/boardgame/217372/quest-el-dorado,El Dorado,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/246431/quest-el-dorado-heroes-hexes,El Dorado Eroi e Demoni,,,Semplice,,
https://boardgamegeek.com/boardgame/162823/el-gaucho,El Gaucho,2-4,60,Media,,
https://boardgamegeek.com/boardgame/93/el-grande,El Grande,,,Media,,
https://boardgamegeek.com/boardgame/180325/elfenroads,Elfenland deluxe,,,Semplice,,
https://boardgamegeek.com/boardgameexpansion/216961/escape-room-game-welcome-funland,Escape Room Funland,,,Media,,
https://boardgamegeek.com/boardgame/204836/escape-room-game,Escape Room il gioco,3-5,60,Media,,
https://boardgamegeek.com/boardgameexpansion/215409/escape-room-game-murder-mystery,Escape Room misteri mortali,,,Media,,
https://boardgamegeek.com/boardgame/337690/escape-room-game-puzzle-adventures-secret-scientis,Escape Room: il segreto della scienziata,,,Media,,
https://boardgamegeek.com/boardgame/133848/euphoria-build-a-better-dystopia,Euphoria,,,Media,,
https://boardgamegeek.com/boardgame/357/excape,Excape,,,Semplice,,
https://boardgamegeek.com/boardgame/83195/ghost-blitz,Fantablitz,2-8,20,Semplice,Y,A
https://boardgamegeek.com/boardgame/83195/ghost-blitz,Fantascatti,,,Semplice,,
https://boardgamegeek.com/boardgame/2290/good-bad-ghosts,Fantasmi,,,Semplice,,
https://boardgamegeek.com/boardgame/362233/fast-west,Fast West,,,Semplice,,
https://boardgamegeek.com/boardgame/232509/feelinks,Feelinks,3-8,20-40,Semplice,Y,B
https://boardgamegeek.com/boardgame/285253/fiesta-de-los-muertos,Fiesta de los muertos,,,Semplice,,
https://boardgamegeek.com/boardgame/40628/finca,Finca,2-4,45,Semplice,,
https://boardgamegeek.com/boardgame/342927/fire-stone,Fire & Stone,,,Semplice,,
https://boardgamegeek.com/boardgame/353304/first-empires,First Empires,,,Media,,
